P_KB,Y_b1,Y_b2
0,0,0
1.00E+00,1.48E+01,3.69E+00
1.16E+00,1.61E+01,4.59E+00
1.32E+00,1.72E+01,5.27E+00
1.47E+00,1.82E+01,5.90E+00
1.63E+00,1.90E+01,6.44E+00
1.79E+00,1.97E+01,6.88E+00
1.95E+00,2.03E+01,7.29E+00
2.11E+00,2.09E+01,7.63E+00
2.26E+00,2.14E+01,7.95E+00
2.42E+00,2.19E+01,8.24E+00
2.58E+00,2.24E+01,8.51E+00
2.74E+00,2.28E+01,8.77E+00
2.89E+00,2.32E+01,9.00E+00
3.05E+00,2.35E+01,9.21E+00
3.21E+00,2.39E+01,9.40E+00
3.37E+00,2.42E+01,9.59E+00
3.53E+00,2.45E+01,9.78E+00
3.68E+00,2.48E+01,9.94E+00
3.84E+00,2.51E+01,1.01E+01
4.00E+00,2.54E+01,1.03E+01
4.16E+00,2.56E+01,1.04E+01
4.32E+00,2.59E+01,1.05E+01
4.47E+00,2.61E+01,1.07E+01
4.63E+00,2.63E+01,1.08E+01
4.79E+00,2.66E+01,1.09E+01
4.95E+00,2.68E+01,1.10E+01
5.11E+00,2.70E+01,1.11E+01
5.26E+00,2.72E+01,1.13E+01
5.42E+00,2.73E+01,1.14E+01
5.58E+00,2.75E+01,1.15E+01
5.74E+00,2.77E+01,1.16E+01
5.89E+00,2.79E+01,1.17E+01
6.05E+00,2.81E+01,1.17E+01
6.21E+00,2.82E+01,1.18E+01
6.37E+00,2.84E+01,1.19E+01
6.53E+00,2.85E+01,1.20E+01
6.68E+00,2.87E+01,1.21E+01
6.84E+00,2.88E+01,1.22E+01
7.00E+00,2.90E+01,1.22E+01
7.16E+00,2.91E+01,1.23E+01
7.32E+00,2.92E+01,1.24E+01
7.47E+00,2.94E+01,1.25E+01
7.63E+00,2.95E+01,1.25E+01
7.79E+00,2.96E+01,1.26E+01
7.95E+00,2.98E+01,1.27E+01
8.11E+00,2.99E+01,1.27E+01
8.26E+00,3.00E+01,1.28E+01
8.42E+00,3.01E+01,1.29E+01
8.58E+00,3.02E+01,1.29E+01
8.74E+00,3.03E+01,1.30E+01
8.89E+00,3.05E+01,1.30E+01
9.05E+00,3.06E+01,1.31E+01
9.21E+00,3.07E+01,1.32E+01
9.37E+00,3.08E+01,1.32E+01
9.53E+00,3.09E+01,1.33E+01
9.68E+00,3.10E+01,1.33E+01
9.84E+00,3.11E+01,1.34E+01
1.00E+01,3.12E+01,1.34E+01
1.02E+01,3.13E+01,1.35E+01
1.03E+01,3.14E+01,1.35E+01
1.05E+01,3.15E+01,1.36E+01
1.06E+01,3.15E+01,1.36E+01
1.08E+01,3.16E+01,1.37E+01
1.09E+01,3.17E+01,1.37E+01
